DTXSID	activity
DTXSID0020365	-0.000000
DTXSID0020319	0.000000
DTXSID0020151	0.000000
DTXSID0020442	0.000000
DTXSID0020440	-0.000000
DTXSID0020573	1.000000
DTXSID0020606	-0.081641
DTXSID0020814	1.000000
DTXSID0021125	1.000000
DTXSID0021127	-0.000076
DTXSID0021385	0.000000
DTXSID0021333	0.000038
DTXSID0021389	-0.000000
DTXSID0021339	-0.000000
DTXSID0021460	1.000000
DTXSID0021464	0.000623
DTXSID0021626	-0.000000
DTXSID0021961	-0.000034
DTXSID0021969	0.000000
DTXSID0022353	0.000211
DTXSID0022018	-0.000000
DTXSID0022436	0.998471
DTXSID0022480	-0.000000
DTXSID0023113	0.000000
DTXSID0023371	-0.000000
DTXSID0024266	-0.000000
DTXSID0024638	-0.000000
DTXSID0025234	0.003373
DTXSID0025101	0.000000
DTXSID0025737	0.000000
DTXSID0026171	-0.000000
DTXSID1027390	-0.998477
DTXSID1027926	0.000001
DTXSID4035708	0.036400
DTXSID7026314	-0.000004
DTXSID7027837	0.000909
DTXSID9027863	0.000000
DTXSID0026098	0.000060
DTXSID0026838	-0.000000
DTXSID0026252	0.000000
DTXSID0027014	-0.000000
DTXSID0027721	0.000000
DTXSID0027771	-0.000000
DTXSID0027773	0.968620
DTXSID0028038	-0.000000
DTXSID0029262	-0.001779
DTXSID0032029	0.000000
DTXSID0032493	-0.000000
DTXSID0032497	-0.000001
DTXSID0032520	-0.000000
DTXSID0032601	0.000000
DTXSID0032651	-0.000000
DTXSID0034192	1.000000
DTXSID0034300	-0.000000
DTXSID0034803	0.000000
DTXSID0037495	-0.000241
DTXSID0037522	0.000000
DTXSID0038887	0.997089
DTXSID0039223	-0.000001
DTXSID0037237	0.000000
DTXSID0041274	-0.000028
DTXSID0041567	-0.000000
DTXSID0041985	-0.000037
DTXSID0042086	0.000042
DTXSID0042084	0.000001
DTXSID0042248	-0.000035
DTXSID0042379	-0.000001
DTXSID0044367	-0.000000
DTXSID0044525	-0.000001
DTXSID0044571	0.000000
DTXSID0044860	0.000000
DTXSID0044862	-0.000000
DTXSID0044993	0.000000
DTXSID0047163	0.922244
DTXSID0047111	-0.000000
DTXSID0047246	0.000108
DTXSID0047294	0.000000
DTXSID0047371	-0.000000
DTXSID0047325	0.000000
DTXSID0047377	-0.004782
DTXSID0047379	0.000000
DTXSID0048185	-0.000000
DTXSID0048183	0.000000
DTXSID0048505	-0.000083
DTXSID0048509	0.021128
DTXSID1020063	0.000000
DTXSID1020148	0.000000
DTXSID1020142	0.000003
DTXSID1020221	0.000073
DTXSID1020223	-0.000006
DTXSID1020439	0.226041
DTXSID1020485	0.000000
DTXSID1020560	-0.000000
DTXSID1020770	0.000003
DTXSID1020855	-0.000000
DTXSID1020807	-0.000018
DTXSID1020930	0.000000
DTXSID1021031	0.000000
DTXSID1021166	-0.000029
DTXSID1021322	-0.000000
DTXSID1021299	0.000038
DTXSID1021871	1.000000
DTXSID1021790	0.000011
DTXSID1022053	-0.000000
DTXSID1022217	0.000004
DTXSID1022479	0.827363
DTXSID1022267	-0.000000
DTXSID1022394	0.999865
DTXSID1022396	-0.000032
DTXSID1023817	0.000000
DTXSID1023869	-0.000000
DTXSID1023990	-0.000000
DTXSID1023998	0.000000
DTXSID1024091	-0.000001
DTXSID1024124	0.000178
DTXSID1025221	0.000014
DTXSID1025017	-0.000000
DTXSID1025560	-0.000015
DTXSID1025809	-0.000001
DTXSID1025930	0.000000
DTXSID1026031	0.001938
DTXSID1026081	0.000000
DTXSID1025857	-0.000000
DTXSID1026900	-0.000000
DTXSID1027134	-0.000001
DTXSID1027500	-0.000000
DTXSID1027429	0.000000
DTXSID1027633	-0.000179
DTXSID1027635	-0.000011
DTXSID1029677	0.000002
DTXSID1032484	0.046192
DTXSID1032569	-0.000000
DTXSID1032640	0.000000
DTXSID1032648	0.000000
DTXSID1032646	-0.000873
DTXSID1032642	-0.000000
DTXSID1033161	-0.000000
DTXSID1033371	0.000000
DTXSID1033664	0.000000
DTXSID1034187	1.000000
DTXSID1034181	1.000000
DTXSID1034212	-0.000000
DTXSID1035783	-0.000000
DTXSID1036541	0.000000
DTXSID1038666	-0.000000
DTXSID1040320	-0.000000
DTXSID1040619	0.000079
DTXSID1040372	-0.000000
DTXSID1040792	-0.000001
DTXSID1040742	0.000000
DTXSID1040611	-0.000000
DTXSID1041188	-0.000336
DTXSID1041502	0.002964
DTXSID1041267	0.000000
DTXSID1041681	0.000000
DTXSID1041683	0.000000
DTXSID1041970	-0.000000
DTXSID1041978	-0.002759
DTXSID1042154	0.000000
DTXSID1042499	0.000252
DTXSID1042441	0.000000
DTXSID1044487	-0.000000
DTXSID1044481	0.000000
DTXSID1044697	0.000083
DTXSID1044936	-0.000001
DTXSID1044851	0.000000
DTXSID1044982	0.000129
DTXSID1046970	1.000000
DTXSID1047102	-0.000001
DTXSID1047108	-0.000000
DTXSID1047310	0.000000
DTXSID1047366	-0.000000
DTXSID1047447	-0.000000
DTXSID1048209	0.000000
DTXSID2020212	-0.000000
DTXSID2020266	0.097302
DTXSID2020420	0.000001
DTXSID2020688	0.000000
DTXSID2020894	0.000000
DTXSID2021105	0.000000
DTXSID2021151	-0.000077
DTXSID2021367	1.000000
DTXSID2021650	0.000000
DTXSID2021577	-0.000000
DTXSID2021575	0.000000
DTXSID2021735	0.000004
DTXSID2022048	0.000000
DTXSID2022123	0.000012
DTXSID2022381	1.000000
DTXSID2022127	0.981272
DTXSID2022678	0.000000
DTXSID2022880	0.000452
DTXSID2023430	0.000000
DTXSID2023016	-0.000002
DTXSID2023723	0.000000
DTXSID2024086	0.178217
DTXSID2023775	0.000000
DTXSID2023569	0.000000
DTXSID2024585	-0.000004
DTXSID2024242	-0.000000
DTXSID2024163	-0.000000
